,Unnamed: 0,mission number,trajectory number,wind only correct final x,wind only delta y,wind only delta y norm,wind only delta x,wind only total distance,wind only delta t,wind only delta t norm,wind and waves correct final x,wind and waves delta y,wind and waves delta y norm,wind and waves delta x,wind and waves total distance,wind and waves delta t,wind and waves delta t norm,wind and waves and surf correct final x,wind and waves and surf delta y,wind and waves and surf delta y norm,wind and waves and surf delta x,wind and waves and surf total distance,wind and waves and surf delta t,wind and waves and surf delta t norm,Mean Wave Dir FRF [deg] (8marray),Mean Wind Dir FRF [deg]
396,396,77,13,True,26.90031326372207,0.0608541101077625,0.0226846722103459,26.900322828559784,434.417644,1.777978369757954,True,9.49222696748518,0.0214733939855721,0.0081770089306587,9.492230489496553,324.917644,1.329818323366063,True,128.44314824595642,0.2905651473021396,0.1051072929724625,128.4431912515248,-169.41568933333332,0.6933821295994598,-8.796878051757815,123.34521484375
397,397,77,14,True,42.2849510542444,0.0956573643633582,0.0030323171115185,42.2849511629704,429.334483,1.4937762841802311,True,23.622467625623585,0.0534389407221293,0.0001645347930718,23.622467626196592,312.1678163333333,1.0861202609785794,True,147.9499631645441,0.3346936245904829,0.0794033014251454,147.94998447203108,-200.4988503333333,0.6975922957330565,-8.796878051757815,123.34521484375
398,398,77,15,True,40.20581779598126,0.0909539319911528,0.002613606795137,40.205817880930915,435.8342983333333,1.8065742660207256,True,22.814398308048226,0.051610919659908,0.0173420305283968,22.814404899192457,326.6676316666667,1.3540681382069228,True,141.47561990344843,0.3200473119686331,0.0426715458590933,141.47562633869427,-166.49903499999996,0.6901542010313119,-8.796878051757815,123.34521484375
399,399,77,16,True,1.5587072056608804,0.0035261202718769,0.0205503807628986,1.5588426704220828,491.1674173333333,2.6172435986369167,True,18.972385185294797,0.0429194859462786,0.0107101912440441,18.97238820832501,381.6674173333333,2.0337599147909913,True,98.201235321917,0.2221516429348591,0.0294917792770093,98.20123975040012,-102.83258266666664,0.5479555630478294,-8.796878051757815,123.34521484375
400,400,77,17,True,24.783512494402657,0.0560654659819678,0.006091848592689,24.78351324309836,426.3344506666666,1.5262630883459096,True,6.483484319375066,0.0146669915991383,0.0160514164299456,6.483504188905238,311.5011173333333,1.1151635919192842,True,128.7106775331115,0.2911703542578348,0.1207758784684926,128.7107341982223,-192.74888266666665,0.6900345596609117,-8.796878051757815,123.34521484375
401,401,77,18,True,14.658263260566857,0.033160043814437,0.0061588509303192,14.658264554425562,282.8346533333333,0.8570781353832485,True,1.5139972333241758,0.0034249770044056,0.0117810073936368,1.514043068954271,181.75132,0.5507637788126911,True,105.0700421452674,0.2376903142744537,0.11106620431147,105.07010084752945,-257.66534666666666,0.780807204036897,-8.796878051757815,123.34521484375
402,402,77,19,True,10.508858740620894,0.0237732267516419,0.0205637542572674,10.508878860197854,448.08400200000005,2.680473346021002,True,4.889454458752766,0.0110609641264326,0.0167662114674556,4.889483204804397,351.08400200000005,2.1002118026418275,True,102.02105096452294,0.2307928613261698,0.0123017386024741,102.0210517061972,-92.83266466666664,0.5553322193348593,-8.796878051757815,123.34521484375
403,403,77,20,True,40.91300971042551,0.0925537473615912,0.0166042583660726,40.91301307978634,398.75120566666664,1.3229288383009212,True,22.78220433453191,0.0515380901879996,0.0187844723170655,22.782212078653927,284.91787233333326,0.9452662825857272,True,143.97002470694576,0.3256901750489702,0.2102358822998553,143.9701782080052,-215.24879433333336,0.7141265866694653,-8.796878051757815,123.34521484375
404,404,67,0,True,340.6612454564367,1.1338232741747611,0.0042526587089071,340.6612454829808,3094.6699736666665,3.743190024065408,True,122.07036601290544,0.4062869607812877,0.0010227405456646,122.07036601718984,1073.8366403333332,1.298870197395919,True,319.4666818547998,1.0632813800848853,0.1391874937914679,319.4667121758921,-733.3300263333334,0.8870069061568455,13.804528045654294,15.928142547607422
405,405,67,1,True,97.25046351246375,0.3236788464357778,0.0022725599975217,97.25046353901648,1771.0025556666665,2.771894571079001,True,30.045785420272026,0.1000014273849108,0.003561172343069,30.04578563131574,605.2525556666665,0.9473144280995016,True,309.62301473914846,1.030518689794124,0.2298998334185,309.6231000912115,-574.5807776666667,0.8993083229408696,13.804528045654294,15.928142547607422
406,406,67,2,True,125.67589974077048,0.4182872634602675,0.0015517113691601,125.67589975034991,1404.7511886666666,4.727168169469088,True,39.11124220047353,0.1301739991861028,0.0004936521963543,39.1112422035889,618.6678553333333,2.0818967919730342,True,162.1766950026855,0.5397729086454033,0.1859173915896406,162.17680156936927,-248.74881133333335,0.8370716982587505,13.804528045654294,15.928142547607422
407,407,67,3,True,78.94604533968433,0.2627562272023589,0.0005298771140189,78.94604534146256,1572.4189286666665,2.7805927822591334,True,32.42780478491446,0.107929505589251,0.0061375070354472,32.42780536572763,555.3355953333332,0.9820297377269672,True,281.52316038717674,0.9369939073596022,0.2257589067958463,281.5232509073949,-503.747738,0.8908041609177931,13.804528045654294,15.928142547607422
408,408,67,4,True,172.64007219884888,0.5745981808174226,0.0020417089115198,172.64007221092191,2233.252898333333,3.082132487241852,True,12.695734891023584,0.0422552312427211,0.0018753181749957,12.695735029527508,762.0028983333332,1.0516470795037864,True,325.62369006255096,1.083773758652573,0.1253235383950652,325.6237141793293,-647.0804350000001,0.8930415503145624,13.804528045654294,15.928142547607422
409,409,67,5,True,294.11850359935164,0.978915004844726,0.0038424716217093,294.11850362445136,2881.669374,4.2575930569666625,True,97.79771775658762,0.3255002734608778,0.0045715260707765,97.79771786343495,1069.5860406666666,1.5802861152838354,True,304.35266931586193,1.0129773921456162,0.187143582271716,304.35272685226727,-586.080626,0.8659191878826121,13.804528045654294,15.928142547607422
410,410,67,6,True,194.1088135086104,0.6460526209361697,0.0009682912850053,194.10881351102552,2361.169415,3.4365247200224696,True,28.721198492754773,0.0955928029607429,0.0066079134928713,28.72119925289924,838.8360816666665,1.2208700114363826,True,319.5470558333508,1.063548888904085,0.0373209767192008,319.5470580127721,-608.9139183333334,0.8862336261958754,13.804528045654294,15.928142547607422
411,411,67,7,True,173.15861202569724,0.5763240376094961,0.0024250749009411,173.15861204267875,2196.585905333333,3.416165928012597,True,20.324662482751485,0.06764660104443,0.003509922264925,20.324662785820585,791.9192386666665,1.2316056086412004,True,304.9826624898359,1.015074199260455,0.1281706447988995,304.98268942204464,-566.6640946666666,0.8812851653687589,13.804528045654294,15.928142547607422
