,event number,mission number,trajectory number,jump amplitude [m],jump time [s],jump depth [m],normalized jump amplitude [-],normalized jump time [-],normalized cross shore jump location [-],breaking iribarren_number [-],Offshore Hs [m],Offshore Tm [s],linear phase speed at jump depth [m/s],bulk jump speed [m/s],mean jump speed [m/s],median jump speed [m/s],max jump speed [m/s],nrmse
767,767,72,10,54.17094067,21.999912,1.553396038,0.679946307,2.301565018,0.748508003,0.165174783,1.5447562,9.558675,3.901702343,2.462325334,2.453193734,2.418988692,6.018132103,0.602440535
397,397,79,12,53.83235013,24.9999,4.14334365,0.791005843,2.999522714,0.632414331,0.129385016,2.150559,8.334626,6.372187048,2.153302619,2.15258309,2.180437723,5.056819144,0.577778707
398,398,79,12,53.59635201,24.833234,4.14334365,0.787538116,2.979525896,0.558800253,0.129385016,2.150559,8.334626,6.372187048,2.158250996,2.159137078,2.196760714,5.056819144,0.543888131
2563,2563,25,11,53.44737442,20.333252,2.319208955,0.944733151,2.848176548,0.556784794,0.117715552,2.1597586,7.139042,4.767415208,2.628569912,2.625880832,2.448432404,5.975585508,0.615659877
768,768,72,10,53.20313914,20.83325,1.555398396,0.667798593,2.179512328,0.63877009,0.165174783,1.5447562,9.558675,3.904216218,2.553760894,2.550947105,2.551449267,6.018132103,0.60275843
2798,2798,21,15,53.06634985,10.499958,2.893422539,0.891315621,1.410798672,0.630993137,0.111073199,2.5528471,7.442563,5.324992102,5.053958296,5.085417252,4.609751445,8.64714593,0.558070449
62,62,78,10,52.60379806,6.166642,2.154591348,0.772953652,0.739882269,0.503167217,0.129385016,2.150559,8.334626,4.595105571,8.530379753,8.386565523,7.865228637,13.64133929,0.577136444
3662,3662,24,27,52.32925734,5.333312,2.119169906,0.954196117,0.76610594,0.483941994,0.115793557,2.163684,6.9615855,4.557177314,9.811774998,9.543945509,10.66112295,15.42092725,0.429239933
555,555,69,9,52.05645516,5.166646,1.429068668,0.663826261,0.548157626,0.600414507,0.162591463,1.5692074,9.425475,3.742308505,10.07548324,9.946342807,10.48702976,17.06385238,0.250264749
3487,3487,24,2,52.00936327,13.499946,3.539150299,0.948363019,1.939205659,0.876324657,0.115793557,2.163684,6.9615855,5.889284586,3.852560838,3.816187007,3.609565847,7.188492293,0.566697585
1571,1571,26,23,51.79111865,14.499942,3.07299037,0.895401106,1.995492371,0.838304407,0.124572287,1.9717437,7.266348,5.487741396,3.571815573,3.565004305,4.489197755,7.150636263,0.411765616
2825,2825,21,20,51.59363039,17.333264,2.754057502,0.866579458,2.328937491,0.612961874,0.111073199,2.5528471,7.442563,5.195167323,2.976567505,2.920039316,3.28276549,4.722480572,0.666498887
3520,3520,24,7,51.456354,17.333264,2.854000567,0.93827919,2.489844303,0.637052253,0.115793557,2.163684,6.9615855,5.288592021,2.968647682,2.96202032,3.179887752,4.351638108,0.813598102
388,388,79,10,50.93122082,8.3333,2.519396544,0.74837701,0.999840905,0.53791683,0.129385016,2.150559,8.334626,4.968911966,6.111770945,5.904669507,5.724039121,9.38095851,0.597583994
2897,2897,21,30,50.60508451,24.9999,2.966185979,0.849975596,3.359044458,0.646073601,0.111073199,2.5528471,7.442563,5.39153249,2.024211477,2.01979571,2.053428397,5.267798439,0.655795871
21,21,78,3,50.14991972,13.33328,5.559712349,0.736896669,1.599745447,0.775803919,0.129385016,2.150559,8.334626,7.381407794,3.761259024,3.71683549,4.587399193,5.364877054,0.609341215
840,840,23,0,50.05533468,26.166562,2.301616982,0.830571879,3.481836054,0.500123095,0.114922357,2.4139028,7.515162,4.749299572,1.912950378,1.882462155,1.898443949,3.838068304,0.597738175
839,839,23,0,49.95400439,25.999896,2.301616982,0.828890498,3.459658754,0.544403047,0.114922357,2.4139028,7.515162,4.749299572,1.921315546,1.889952112,1.89921585,3.838068304,0.591668208
3155,3155,20,32,49.86013538,14.666608,3.450529168,0.826416588,1.949742881,0.594223465,0.109169979,2.6779573,7.5223293,5.815082617,3.399568283,3.356432142,2.933333274,5.528651181,0.557790066
3580,3580,24,14,49.67588369,33.666532,1.908737705,0.905813263,4.836043743,0.530738105,0.115793557,2.163684,6.9615855,4.325000522,1.4755272,1.502358282,1.595283708,4.725291979,0.721171292
1822,1822,36,5,49.50648679,14.666608,1.554913622,0.73518777,1.775809097,1.068341692,0.207574516,0.82674474,8.259113,3.903607753,3.375455783,3.378500801,4.360862795,6.225887254,0.331828484
110,110,78,19,49.03681421,30.333212,4.221100112,0.720540836,3.639420893,0.706372779,0.129385016,2.150559,8.334626,6.43170126,1.616604737,1.617679533,1.818485253,3.73770143,0.647644941
3171,3171,20,34,49.02233982,22.166578,4.316998117,0.812530381,2.94677049,0.423417779,0.109169979,2.6779573,7.5223293,6.50435097,2.211542973,2.193903107,2.344951369,3.918521544,0.936590265
2673,2673,25,28,48.75246403,5.666644,1.843715843,0.861746147,0.79375412,0.490053881,0.117715552,2.1597586,7.139042,4.250695856,8.603410419,8.61323643,9.417698923,14.67571854,0.565662212
